,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc
63,0.74,0.38,0.65,1.92,1.01,-2.47,1.0556988206870368
64,0.73,0.38,0.65,1.89,1.04,-2.9,1.0487134975769121
65,0.73,0.38,0.65,2.01,0.98,-2.87,1.0487134975769121
66,0.74,0.38,0.66,2.07,0.76,-2.62,1.0618851161966627
67,0.74,0.39,0.66,1.62,0.95,-3.29,1.0655045753069294
68,0.73,0.38,0.65,1.89,0.55,-2.77,1.0487134975769121
69,0.74,0.38,0.65,1.77,0.7,-3.23,1.0556988206870368
70,0.74,0.38,0.66,1.31,0.43,-3.29,1.0618851161966627
71,0.74,0.38,0.65,1.4,0.58,-2.9,1.0556988206870368
72,0.74,0.38,0.65,1.34,0.88,-2.84,1.0556988206870368
73,0.74,0.38,0.66,1.31,0.64,-3.17,1.0618851161966627
74,0.74,0.38,0.65,1.34,0.46,-3.17,1.0556988206870368
75,0.74,0.38,0.65,1.83,0.24,-3.11,1.0556988206870368
76,0.74,0.38,0.66,2.38,0.55,-2.77,1.0618851161966627
77,0.74,0.38,0.66,2.16,0.4,-2.68,1.0618851161966627
78,0.74,0.37,0.66,2.59,0.12,-2.38,1.058347768930421
79,0.74,0.37,0.66,2.8,0.21,-2.38,1.058347768930421
80,0.73,0.37,0.66,3.17,-0.21,-2.16,1.0513800454640558
81,0.74,0.37,0.66,3.6,0.06,-2.29,1.058347768930421
82,0.74,0.37,0.66,3.96,0.09,-2.04,1.058347768930421
83,0.74,0.38,0.65,3.87,0.12,-2.13,1.0556988206870368
84,0.74,0.38,0.65,4.05,0.15,-2.2,1.0556988206870368
85,0.74,0.38,0.65,3.66,0.21,-2.04,1.0556988206870368
86,0.74,0.39,0.65,3.41,-0.4,-2.07,1.0593394168065304
87,0.74,0.39,0.65,2.93,-0.43,-2.23,1.0593394168065304
88,0.74,0.38,0.66,1.95,-0.3,-2.62,1.0618851161966627
89,0.75,0.38,0.65,1.55,-0.73,-2.53,1.0627323275406653
90,0.75,0.39,0.65,1.28,-0.12,-2.68,1.0663489110042734
91,0.74,0.38,0.65,1.13,0.27,-2.96,1.0556988206870368
92,0.75,0.38,0.65,0.61,0.24,-3.05,1.0627323275406653
93,0.74,0.38,0.65,0.79,0.09,-2.99,1.0556988206870368
94,0.75,0.38,0.65,1.19,0.79,-2.93,1.0627323275406653
95,0.74,0.38,0.65,1.01,0.64,-3.02,1.0556988206870368
96,0.74,0.39,0.66,1.34,0.88,-2.8,1.0655045753069294
97,0.75,0.39,0.65,1.22,0.98,-2.56,1.0663489110042734
98,0.75,0.39,0.65,1.01,1.4,-2.68,1.0663489110042734
99,0.75,0.39,0.65,0.91,1.34,-2.38,1.0663489110042734
100,0.74,0.4,0.65,0.82,1.49,-2.47,1.0630616162763098
101,0.74,0.4,0.65,1.13,2.16,-1.86,1.0630616162763098
102,0.74,0.4,0.66,1.01,1.89,-2.07,1.0692053123698928
103,0.75,0.4,0.65,0.67,1.8,-1.98,1.0700467279516348
104,0.74,0.4,0.66,0.67,2.16,-1.62,1.0692053123698928
105,0.74,0.39,0.66,0.73,1.92,-1.46,1.0655045753069294
106,0.74,0.4,0.66,1.04,1.62,-1.13,1.0692053123698928
107,0.74,0.39,0.65,1.19,1.19,-1.16,1.0593394168065304
108,0.74,0.39,0.67,1.52,0.85,-1.07,1.0717275773255068
109,0.74,0.39,0.67,1.74,1.04,-0.98,1.0717275773255068
110,0.74,0.38,0.67,2.26,0.73,-0.58,1.068129205667554
111,0.75,0.38,0.66,2.59,0.79,-0.73,1.0688779163215976
112,0.74,0.39,0.66,3.2,0.52,0.06,1.0655045753069294
113,0.72,0.38,0.66,3.51,-0.09,0.27,1.0480458005259121
114,0.73,0.38,0.67,3.99,-0.61,0.49,1.0612257064357233
115,0.74,0.38,0.66,4.3,-0.64,0.7,1.0618851161966627
116,0.75,0.38,0.67,4.15,-0.73,0.73,1.0750813922675808
117,0.74,0.38,0.66,4.3,-0.61,0.61,1.0618851161966627
118,0.74,0.38,0.66,4.21,-0.55,0.37,1.0618851161966627
119,0.73,0.38,0.66,3.6,-0.85,0.4,1.0549407566304376
120,0.74,0.38,0.66,3.35,-1.01,-0.24,1.0618851161966627
121,0.74,0.38,0.66,3.26,-0.7,-0.09,1.0618851161966627
122,0.73,0.37,0.65,2.71,-0.09,-0.06,1.04513157066467
123,0.74,0.38,0.64,2.53,-0.09,-0.46,1.049571341072154
124,0.74,0.37,0.65,2.44,0.21,-0.49,1.0521406750050109
125,0.74,0.37,0.65,2.32,0.76,-0.73,1.0521406750050109
126,0.74,0.37,0.65,2.07,0.64,-1.07,1.0521406750050109
127,0.74,0.38,0.65,2.1,1.74,-1.68,1.0556988206870368
128,0.73,0.38,0.66,1.8,1.89,-1.49,1.0549407566304376
129,0.74,0.38,0.65,1.25,1.89,-1.43,1.0556988206870368
130,0.74,0.39,0.66,0.67,2.16,-1.89,1.0655045753069294
131,0.72,0.38,0.66,0.49,1.98,-1.83,1.0480458005259121
132,0.73,0.38,0.66,0.06,1.92,-1.62,1.0549407566304376
133,0.73,0.38,0.66,0.0,1.83,-1.89,1.0549407566304376
134,0.73,0.39,0.65,-0.03,1.49,-1.71,1.0523782589924593
135,0.73,0.38,0.66,-0.21,1.07,-1.46,1.0549407566304376
136,0.73,0.38,0.67,0.34,0.95,-1.49,1.0612257064357233
137,0.73,0.38,0.66,0.52,0.73,-1.25,1.0549407566304376
138,0.73,0.38,0.67,0.52,0.49,-1.13,1.0612257064357233
139,0.73,0.38,0.66,1.22,0.34,-0.82,1.0549407566304376
140,0.73,0.38,0.67,1.71,-0.12,-0.67,1.0612257064357233
141,0.73,0.38,0.67,1.86,-0.3,-0.58,1.0612257064357233
142,0.73,0.38,0.66,2.71,-0.88,-0.3,1.0549407566304376
143,0.73,0.38,0.66,3.48,-0.61,-0.27,1.0549407566304376
144,0.73,0.38,0.66,3.99,-0.91,-0.24,1.0549407566304376
145,0.73,0.38,0.66,4.63,-0.91,0.49,1.0549407566304376
146,0.73,0.38,0.67,5.4,-0.34,0.27,1.0612257064357233
147,0.73,0.38,0.66,5.7,-0.27,0.09,1.0549407566304376
148,0.73,0.38,0.66,6.37,-0.43,-0.15,1.0549407566304376
149,0.74,0.38,0.66,6.59,-0.18,-0.18,1.0618851161966627
150,0.74,0.39,0.66,6.8,0.61,-0.21,1.0655045753069294
151,0.73,0.39,0.65,6.62,0.64,0.21,1.0523782589924593
152,0.73,0.4,0.66,5.98,0.21,-0.03,1.0623088063270492
153,0.73,0.4,0.66,6.13,0.37,-0.49,1.0623088063270492
154,0.73,0.4,0.65,5.52,0.37,-0.09,1.0561249926026748
155,0.73,0.4,0.65,5.76,0.79,0.27,1.0561249926026748
156,0.73,0.4,0.65,5.27,0.76,0.46,1.0561249926026748
157,0.73,0.4,0.65,5.0,0.3,0.52,1.0561249926026748
158,0.74,0.4,0.65,4.33,0.43,0.34,1.0630616162763098
159,0.74,0.39,0.65,3.9,0.67,0.15,1.0593394168065304
160,0.74,0.39,0.65,3.14,0.95,0.0,1.0593394168065304
161,0.73,0.39,0.65,2.44,1.07,-0.21,1.0523782589924593
162,0.74,0.39,0.64,2.1,0.82,-0.49,1.0532331175955303
163,0.73,0.39,0.65,1.68,1.01,-0.21,1.0523782589924593
164,0.74,0.39,0.64,0.91,1.28,-0.76,1.0532331175955303
165,0.74,0.38,0.65,0.15,1.16,-0.79,1.0556988206870368
166,0.74,0.38,0.65,0.0,1.65,-1.07,1.0556988206870368
167,0.73,0.38,0.65,-0.06,2.01,-0.98,1.0487134975769121
168,0.73,0.38,0.65,-0.4,2.13,-0.7,1.0487134975769121
169,0.73,0.37,0.65,-0.09,1.83,-1.16,1.04513157066467
170,0.73,0.38,0.65,0.24,1.95,-1.04,1.0487134975769121
171,0.73,0.37,0.66,1.28,2.53,-1.19,1.0513800454640558
172,0.74,0.36,0.66,1.49,2.41,-1.52,1.0548933595392476
173,0.73,0.37,0.66,2.41,3.2,-1.46,1.0513800454640558
174,0.73,0.37,0.66,3.08,3.45,-1.52,1.0513800454640558
175,0.72,0.38,0.66,3.45,3.29,-0.98,1.0480458005259121
176,0.72,0.38,0.66,3.6,2.32,-0.85,1.0480458005259121
177,0.72,0.38,0.66,3.75,2.13,-0.95,1.0480458005259121
178,0.73,0.38,0.66,3.78,2.16,-0.73,1.0549407566304376
179,0.73,0.38,0.66,3.66,1.92,-0.73,1.0549407566304376
180,0.73,0.38,0.66,3.78,1.49,-0.85,1.0549407566304376
181,0.73,0.39,0.67,3.54,1.43,-1.22,1.0648474069086145
182,0.73,0.38,0.66,3.2,1.13,-1.13,1.0549407566304376
183,0.72,0.39,0.66,3.14,0.82,-1.28,1.0517128885774862
184,0.72,0.39,0.66,2.23,0.64,-0.76,1.0517128885774862
185,0.73,0.39,0.66,2.38,0.49,-0.91,1.0585839598255775
186,0.73,0.39,0.66,2.26,0.15,-0.82,1.0585839598255775
187,0.72,0.39,0.66,1.59,0.09,-0.52,1.0517128885774862
188,0.73,0.39,0.66,1.55,0.21,-0.76,1.0585839598255775
189,0.73,0.38,0.66,1.95,0.12,-1.01,1.0549407566304376
190,0.73,0.38,0.66,1.86,0.15,-0.61,1.0549407566304376
191,0.73,0.38,0.65,2.44,0.3,-0.55,1.0487134975769121
192,0.73,0.38,0.66,2.71,0.27,-0.82,1.0549407566304376
193,0.73,0.38,0.66,2.93,0.3,-0.98,1.0549407566304376
194,0.73,0.38,0.66,3.11,-0.18,-1.13,1.0549407566304376
195,0.73,0.38,0.65,3.26,0.55,-0.79,1.0487134975769121
196,0.72,0.38,0.66,3.63,0.58,-0.85,1.0480458005259121
197,0.73,0.38,0.66,3.63,0.88,-0.52,1.0549407566304376
198,0.73,0.38,0.65,3.81,1.04,-0.67,1.0487134975769121
199,0.73,0.38,0.66,3.57,1.19,-0.91,1.0549407566304376
200,0.75,0.38,0.66,3.66,0.98,-1.07,1.0688779163215976
201,0.73,0.39,0.66,3.51,0.85,-0.61,1.0585839598255775
202,0.73,0.39,0.67,3.2,1.16,-1.04,1.0648474069086145
203,0.73,0.38,0.66,2.8,0.79,-1.19,1.0549407566304376
204,0.73,0.38,0.66,2.47,0.79,-1.4,1.0549407566304376
205,0.73,0.37,0.66,2.01,0.64,-1.74,1.0513800454640558
206,0.73,0.38,0.66,1.83,0.67,-1.71,1.0549407566304376
207,0.73,0.38,0.66,1.55,0.85,-1.55,1.0549407566304376
208,0.73,0.38,0.66,1.4,0.91,-1.68,1.0549407566304376
209,0.73,0.38,0.66,1.13,0.79,-1.98,1.0549407566304376
210,0.73,0.37,0.66,0.79,1.16,-1.74,1.0513800454640558
211,0.73,0.38,0.66,1.1,0.95,-1.68,1.0549407566304376
212,0.73,0.37,0.67,1.49,0.95,-1.71,1.0576861538282516
213,0.72,0.38,0.66,1.52,0.79,-1.55,1.0480458005259121
214,0.72,0.37,0.67,1.77,0.43,-1.74,1.0508092119885513
215,0.72,0.38,0.67,2.01,0.27,-1.49,1.054371850914088
216,0.72,0.38,0.66,2.1,0.15,-1.46,1.0480458005259121
217,0.73,0.38,0.67,2.07,0.18,-1.22,1.0612257064357233
218,0.72,0.38,0.67,2.62,-0.34,-1.07,1.054371850914088
219,0.72,0.38,0.67,2.87,-0.58,-0.95,1.054371850914088
220,0.73,0.38,0.67,2.99,-0.82,-0.88,1.0612257064357233
221,0.73,0.38,0.67,2.93,-1.25,-1.22,1.0612257064357233
222,0.72,0.38,0.67,2.84,-1.62,-1.01,1.054371850914088
223,0.73,0.39,0.66,2.71,-1.25,-1.01,1.0585839598255775
224,0.72,0.39,0.66,2.74,-1.62,-0.95,1.0517128885774862
225,0.73,0.39,0.66,2.47,-1.95,-1.07,1.0585839598255775
226,0.73,0.39,0.65,2.38,-1.98,-1.13,1.0523782589924593
227,0.73,0.39,0.65,2.13,-1.34,-0.73,1.0523782589924593
228,0.73,0.39,0.66,2.1,-1.31,-1.1,1.0585839598255775
229,0.74,0.38,0.65,2.13,-1.34,-1.22,1.0556988206870368
230,0.74,0.38,0.66,2.2,-0.95,-0.91,1.0618851161966627
231,0.74,0.39,0.66,2.53,-0.55,-0.95,1.0655045753069294
232,0.74,0.39,0.66,2.26,-0.79,-1.46,1.0655045753069294
233,0.74,0.39,0.66,2.29,-0.49,-1.68,1.0655045753069294
