,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc
320,0.65,0.32,0.74,3.69,10.09,-1.07,1.035615758860399
321,0.64,0.32,0.76,4.94,12.32,-0.3,1.043839068055991
322,0.63,0.32,0.78,6.46,14.12,0.34,1.0524732775705044
323,0.62,0.31,0.78,7.96,15.27,1.04,1.0435037134576954
324,0.61,0.3,0.81,9.05,16.22,1.46,1.057449762400087
325,0.6,0.3,0.82,10.43,16.13,1.92,1.0594338110519221
326,0.59,0.3,0.84,10.79,15.0,2.65,1.0694391053257777
327,0.58,0.29,0.85,11.46,13.05,3.63,1.0691117808723276
328,0.57,0.3,0.86,11.37,10.95,3.93,1.0744766167767448
329,0.56,0.3,0.86,10.91,7.62,3.72,1.0692053123698928
330,0.57,0.29,0.87,10.67,4.05,2.96,1.0797684937059424
331,0.57,0.28,0.87,10.61,0.61,1.68,1.0771258050942796
332,0.57,0.27,0.87,10.34,-2.35,0.46,1.074569681314339
333,0.58,0.26,0.87,10.21,-5.12,-1.13,1.0774506949276148
334,0.58,0.26,0.86,9.42,-7.35,-1.86,1.069392350823588
335,0.59,0.27,0.85,9.05,-9.12,-2.56,1.0693455942771728
336,0.59,0.26,0.83,8.69,-10.55,-3.26,1.0509995242624994
337,0.6,0.27,0.83,8.45,-11.28,-3.84,1.0591506030777682
338,0.6,0.28,0.82,7.99,-11.8,-4.36,1.0539449701004318
339,0.62,0.28,0.81,7.32,-11.65,-4.73,1.0577806956075537
340,0.61,0.28,0.78,7.47,-10.4,-5.24,1.0290286682109493
341,0.65,0.29,0.78,7.2,-8.17,-5.18,1.055935604097144
342,0.66,0.29,0.76,8.11,-5.64,-5.21,1.0475208828467335
343,0.66,0.3,0.75,8.93,-3.05,-5.03,1.0431203190428227
344,0.67,0.31,0.75,9.73,-0.4,-4.6,1.0523782589924593
345,0.65,0.33,0.74,10.15,1.71,-4.18,1.0387492478938314
346,0.65,0.34,0.75,10.58,3.51,-3.81,1.0490948479522717
347,0.64,0.35,0.75,10.82,5.18,-2.77,1.0462313319720453
348,0.63,0.35,0.75,11.83,6.46,-1.98,1.0401442207694085
349,0.62,0.36,0.76,12.8,6.89,-1.16,1.0447966309287182
350,0.61,0.37,0.77,13.69,6.98,-0.06,1.0497142468310126
351,0.6,0.37,0.77,14.33,7.47,0.73,1.0439348638684312
352,0.6,0.37,0.77,15.15,6.89,1.4,1.0439348638684312
353,0.59,0.38,0.78,16.01,6.34,1.83,1.049237818609299
354,0.58,0.39,0.79,16.07,5.64,2.26,1.0547985589675406
355,0.57,0.41,0.8,15.43,3.93,2.65,1.0644247272588137
356,0.57,0.41,0.8,15.03,2.26,2.93,1.0644247272588137
357,0.57,0.41,0.8,13.87,0.76,2.47,1.0644247272588137
358,0.57,0.42,0.81,12.56,-0.76,2.74,1.0758252646224664
359,0.57,0.42,0.8,10.91,-1.83,2.5,1.0683164325236227
360,0.57,0.42,0.8,8.99,-3.41,1.74,1.0683164325236227
361,0.58,0.41,0.79,7.35,-4.21,1.52,1.0623558725775464
362,0.58,0.41,0.79,6.19,-4.76,1.13,1.0623558725775464
363,0.59,0.42,0.79,4.82,-5.03,1.37,1.0717275773255068
364,0.59,0.41,0.79,3.29,-4.27,1.37,1.0678483038334612
365,0.6,0.41,0.78,1.86,-3.41,1.28,1.0660675400742676
366,0.61,0.4,0.77,1.04,-2.47,0.95,1.0606601717798212
367,0.61,0.39,0.77,-0.09,-1.28,0.58,1.056929515152264
368,0.61,0.39,0.78,-0.52,-0.06,0.49,1.0642368157510809
369,0.61,0.38,0.78,-0.64,0.98,0.61,1.06061303028013
370,0.6,0.37,0.78,-0.3,1.89,0.52,1.0513324878457815
371,0.61,0.36,0.78,0.7,3.38,0.15,1.0536128321162381
372,0.6,0.36,0.78,1.49,4.39,0.4,1.047854951794379
373,0.6,0.36,0.78,2.68,5.3,0.7,1.047854951794379
374,0.59,0.36,0.79,3.9,6.22,1.01,1.0496666137398103
375,0.59,0.36,0.79,5.15,6.55,1.31,1.0496666137398103
376,0.58,0.35,0.79,6.16,7.23,1.28,1.0406728592598158
377,0.59,0.35,0.8,7.71,7.93,2.1,1.0538500842150178
